user_id,login,user,email,phone,year_of_birth,phone_type,interest,location
1,3:27,Muhamad Diny,Muhamad@outlook.com,+6283158122719,1977,realme,Travel,Regol
2,9:31,Anisa Israqi,Anisa@yahoo.com,+6288169725820,1996,vivo,Travel,Cidadap
3,23:55,Deri Gina,Deri@yahoo.com,+6281631857942,1974,Honor,Fashion,Regol
4,16:56,Kirana Tatie,Kirana@yahoo.com,+6282037897193,1982,Sony,Cryptocurrency,Bandung Kulon
5,17:54,Sri Israqi,Sri@gmail.com,+6285371369624,2000,Apple,Cryptocurrency,Sumur Bandung
6,10:16,Yolanda Adi,Yolanda@yahoo.com,+6283579660933,1985,ZTE,Technology,Cidadap
7,7:10,sinta Muhammad,sinta@gmail.com,+6289038830372,1992,Lenovo,Social Media,Cibeunying Kaler
8,20:28,Hazana andrian,Hazana@gmail.com,+6287930418797,1979,Huawei,Parenting,Regol
9,10:34,Neneng Hazana,Neneng@hotmail.com,+6283244009056,1989,ZTE,E-commerce,Cibiru
10,17:16,Selisa Annisa,Selisa@outlook.com,+6281672199882,1997,Sharp,Fashion,Mandalajati
11,1:33,Puji Putri,Puji@outlook.com,+6283595833901,1999,Motorola,Beauty,Cibeunying Kaler
12,16:26,Evi andriyani,Evi@outlook.com,+6282924502272,1996,Sharp,Career Development,Bojongloa Kaler
13,8:37,Lucky Kirana,Lucky@hotmail.com,+6283514862612,1994,itel,Home Living,Regol
14,17:25,irfan yolanda,irfan@hotmail.com,+6284583095482,2001,ZTE,Gaming,Bandung Wetan
15,19:19,yolanda Iman,yolanda@outlook.com,+6285369002400,1977,Lenovo,Home Living,Bandung Kidul
16,14:07,ayudhia Syahdan,ayudhia@gmail.com,+6289843810190,1962,Apple,Sports,Andir
17,22:07,saraswati Lulu,saraswati@gmail.com,+6282660504402,1976,Infinix,Fashion,Buahbatu
18,20:22,Puji Agus,Puji@yahoo.com,+6281414263463,1971,Google Pixel,E-commerce,Ujungberung
19,19:22,Brama nita,Brama@outlook.com,+6282201662788,1972,Lenovo,E-commerce,Cibeunying Kidul
20,10:05,Kirana Aulia,Kirana@hotmail.com,+6282462980184,1997,Google Pixel,Automotive,Mandalajati
21,4:42,Aulia Yulia,Aulia@yahoo.com,+6283972273181,1988,Samsung,Career Development,Cibeunying Kaler
22,10:30,Hazana Rizal,Hazana@hotmail.com,+6287683833702,1963,Lenovo,Sports,Bandung Wetan
23,21:15,Hilda robbi,Hilda@yahoo.com,+6289110426020,1966,Sony,Sports,Rancasari
24,8:58,Ferdinand Ristya,Ferdinand@outlook.com,+6284997499816,1974,Honor,Travel,Cibeunying Kidul
25,0:49,yogie Raka,yogie@yahoo.com,+6288124575909,1982,realme,Parenting,Cibeunying Kidul
26,2:13,Selisa Ristya,Selisa@gmail.com,+6287192981028,1961,Sony,Technology,Gedebage
27,7:16,Muni arif,Muni@gmail.com,+6283333750589,1979,Lenovo,Music,Sumur Bandung
