user_id,login,logout,user,email,phone,year_of_birth,phone_type,interest,location
1,16:59,19:23,saraswati Dhea,saraswati@gmail.com,+6287057531624,1989,itel,Food & Beverage,Sukajadi
2,04:04,09:42,Ajeng Jayanti,Ajeng@outlook.com,+6284592769564,2000,Motorola,News,Bojongloa Kidul
3,19:18,00:33,Regina Bella,Regina@outlook.com,+6285123908236,1978,Apple,E-commerce,Batununggal
4,16:57,18:29,Maulana ayudhia,Maulana@hotmail.com,+6288536435042,1977,Motorola,Automotive,Regol
5,23:31,02:54,Maulana Muhamad,Maulana@hotmail.com,+6288122032958,1994,Sony,E-commerce,Cicendo
6,08:31,12:16,Muhammad Ridwan,Muhammad@hotmail.com,+6282623969545,1969,Honor,Gaming,Coblong
7,12:55,14:26,Rizky ahmad,Rizky@outlook.com,+6288632902582,1972,Google Pixel,Parenting,Cibeunying Kidul
8,05:09,06:39,irfan anggi,irfan@outlook.com,+6287678716019,1965,Infinix,Music,Antapani
9,17:29,20:50,Wahyu Revina,Wahyu@hotmail.com,+6287579550699,1990,Xiaomi,Fashion,Kiaracondong
10,03:14,07:51,ayudhia Rizky,ayudhia@outlook.com,+6284089750123,2000,Infinix,Parenting,Cibeunying Kaler
11,14:03,18:26,Deri Sonia,Deri@hotmail.com,+6284843978752,1977,Huawei,E-commerce,Babakan Ciparay
12,03:03,05:25,Putri Indri,Putri@yahoo.com,+6281365865020,1991,Motorola,Fashion,Antapani
13,20:49,00:26,Sri Lassandra,Sri@hotmail.com,+6289086630967,1984,Google Pixel,E-commerce,Coblong
14,01:08,03:22,sinta Esya,sinta@gmail.com,+6288721804876,1998,TECNO,Education,Mandalajati
15,04:32,05:03,Mita Ana,Mita@gmail.com,+6288440490799,1993,ASUS,Finance,Buahbatu
16,06:26,10:51,Regina Mariam,Regina@hotmail.com,+6284064351469,1982,Honor,News,Ujungberung
17,06:03,10:13,yogie anggi,yogie@yahoo.com,+6282926810868,1968,Samsung,Social Media,Sumur Bandung
18,10:17,11:40,Rosyanda Arya,Rosyanda@hotmail.com,+6285361492856,1999,ZTE,Education,Arcamanik
19,10:09,15:49,Gracia Hilda,Gracia@hotmail.com,+6286550190517,1965,OPPO,Fashion,Panyileukan
20,19:10,21:49,Revina Armelia,Revina@hotmail.com,+6281816256257,1983,realme,Automotive,Rancasari
21,21:23,00:06,Pina Yulia,Pina@hotmail.com,+6285609440932,1980,vivo,Career Development,Coblong
22,03:34,08:51,Aulia Widi,Aulia@gmail.com,+6281326989814,1969,ASUS,Finance,Cibeunying Kaler
23,06:10,08:35,Nur juanita,Nur@outlook.com,+6288634267633,1975,realme,Finance,Sukasari
24,23:19,01:41,delsa Dhea,delsa@yahoo.com,+6286327751576,2000,Sharp,Food & Beverage,Cibeunying Kidul
25,04:27,08:48,Daniel Neneng,Daniel@hotmail.com,+6288919285321,1992,Huawei,Career Development,Ujungberung
26,00:54,03:09,Citra sinta,Citra@gmail.com,+6282911582540,1992,Google Pixel,Health & Fitness,Babakan Ciparay
27,09:38,13:24,Muhammad arif,Muhammad@gmail.com,+6288094012544,1994,Google Pixel,Automotive,Bandung Kidul
28,15:59,19:39,Lucky Bagus,Lucky@hotmail.com,+6281971087469,1960,OPPO,Health & Fitness,Cibeunying Kidul
29,08:25,12:12,Ira Revina,Ira@hotmail.com,+6289689032163,1993,Sony,Social Media,Lengkong
30,17:09,22:54,Kurnia Agnes,Kurnia@yahoo.com,+6285474521445,1997,ZTE,Music,Coblong
31,10:55,15:24,Nurfa Aulia,Nurfa@yahoo.com,+6284878039205,1979,Huawei,Cryptocurrency,Panyileukan
32,15:03,18:15,Selisa Ajeng,Selisa@gmail.com,+6287954674540,1984,Sharp,Music,Kiaracondong
33,09:16,12:49,Meisa Novianti,Meisa@gmail.com,+6283171187035,1965,vivo,Cryptocurrency,Kiaracondong
34,04:05,09:39,yolanda Kania,yolanda@hotmail.com,+6282258826869,1978,vivo,Sports,Cibeunying Kidul
35,23:56,04:21,dinda Novianti,dinda@outlook.com,+6289611462521,1980,Motorola,Cryptocurrency,Cibeunying Kidul
36,14:46,19:15,Nur Avrialy,Nur@yahoo.com,+6287042179372,1973,Xiaomi,Music,Arcamanik
37,01:25,05:13,Dani Annisa,Dani@outlook.com,+6287767487397,1995,Sony,Automotive,Ujungberung
